STATE,ZipCode,Number of returns with total income,Total income amount,Avg total income,Count
NY,0,9310480,723835791,77.74419697,1
NY,10001,13720,2127995,155.1016764,4747
NY,10002,43410,2033619,46.84678645,5830
NY,10003,29340,6229147,212.309032,7073
NY,10004,2580,904779,350.6895349,719
NY,10005,5660,5371221,948.9789753,1704
NY,10006,2360,428551,181.5894068,673
NY,10007,3460,1733784,501.0936416,1193
NY,10009,32170,2336842,72.64041032,9678
NY,10010,17270,3472481,201.0701216,5551
NY,10011,30420,7536603,247.7515779,10249
NY,10012,12780,2720880,212.9014085,3893
NY,10013,15060,4935026,327.6909695,3532
NY,10014,18950,4930162,260.1668602,6810
NY,10016,30970,8814856,284.6256377,7009
NY,10017,11870,4126925,347.6769166,2021
NY,10018,6230,2573118,413.0205457,1765
NY,10019,24200,6108825,252.4307851,7602
NY,10021,23860,11877178,497.7861693,6600
NY,10022,19780,10328745,522.1812437,5159
NY,10023,33900,10861855,320.4087021,11189
NY,10024,30820,9317798,302.3295912,10581
NY,10025,46200,6184796,133.8700433,13819
NY,10026,17660,1008610,57.11268403,2846
NY,10027,26780,1417654,52.93704257,4278
NY,10028,25370,9092931,358.4127316,7884
NY,10029,34300,1736681,50.63209913,7441
NY,10030,13240,478156,36.11450151,1552
NY,10031,28740,1014945,35.31471816,3410
NY,10032,31540,1014325,32.15995561,3366
NY,10033,27110,1085242,40.03105865,3579
NY,10034,20340,774547,38.07999017,2993
NY,10035,15360,609558,39.68476563,2558
NY,10036,17980,3729634,207.4323693,5499
NY,10037,10280,449823,43.75710117,1289
NY,10038,12300,1446450,117.597561,3722
NY,10039,13400,473199,35.31335821,1801
NY,10040,21670,820286,37.85353023,2676
NY,10044,4160,351563,84.51033654,1016
NY,10065,15670,7060114,450.5497128,4573
NY,10069,2660,1276318,479.818797,1387
NY,10075,14330,5912074,412.5662247,4136
NY,10128,32510,10972659,337.5164257,10174
NY,10162,700,180653,258.0757143,82
NY,10280,4160,794352,190.95,1476
NY,10282,2400,979680,408.2,782
NY,10301,17240,1103924,64.03271462,3460
NY,10302,7710,365038,47.3460441,1557
NY,10303,11700,495884,42.38324786,1771
NY,10304,18950,1218307,64.29060686,3718
NY,10305,18720,1103047,58.92345085,4227
NY,10306,25970,1763456,67.90358106,7134
NY,10307,6220,533530,85.77652733,1739
NY,10308,13300,943098,70.90962406,4191
NY,10309,14630,1145489,78.29726589,4333
NY,10310,10990,632212,57.52611465,2477
NY,10312,28440,2167264,76.204782,8805
NY,10314,39620,2619150,66.10676426,8886
NY,10451,22270,652966,29.32043107,2120
NY,10452,35350,875934,24.77889675,2040
NY,10453,37070,885440,23.8856218,1986
NY,10454,15220,367537,24.14829172,1998
NY,10455,17090,434729,25.43762434,1938
NY,10456,38800,925728,23.85896907,2813
NY,10457,31770,764660,24.06861819,2240
NY,10458,33010,866120,26.23810966,2532
NY,10459,20860,542108,25.98791946,1909
NY,10460,24700,635242,25.7182996,2506
NY,10461,23340,1105759,47.37613539,4291
NY,10462,38370,1495011,38.96301798,4401
NY,10463,33220,2003887,60.32170379,5025
NY,10464,2140,165381,77.28084112,740
NY,10465,19250,1090084,56.62774026,4525
NY,10466,31640,1129756,35.70657396,1980
NY,10467,42930,1368864,31.88595388,3701
NY,10468,35240,952553,27.03044835,2126
NY,10469,31030,1313311,42.32391234,2970
NY,10470,7390,348229,47.12165088,711
NY,10471,9800,1173797,119.7752041,2327
NY,10472,27360,757519,27.68709795,2819
NY,10473,27320,989518,36.21954612,4055
NY,10474,4690,122362,26.08997868,434
NY,10475,22020,991380,45.02179837,1647
NY,10502,2910,426666,146.6206186,1
NY,10506,2830,1041844,368.1427562,4
NY,10510,4870,1286594,264.1876797,5
NY,10511,1130,77827,68.87345133,1
NY,10512,12330,1011552,82.03990268,11
NY,10514,5480,2398763,437.7304745,1
NY,10520,6350,806816,127.0576378,7
NY,10522,5210,682122,130.9255278,1
NY,10523,4830,328716,68.05714286,2
NY,10526,1040,149001,143.2701923,2
NY,10528,5750,1338600,232.8,2
NY,10530,7090,920070,129.7700987,8
NY,10533,3830,849585,221.8237598,1
NY,10536,5280,1377853,260.9570076,1
NY,10537,1180,72617,61.53983051,1
NY,10538,8060,2937868,364.4997519,2
NY,10541,12330,1036566,84.06861314,14
NY,10543,9600,1418794,147.7910417,1
NY,10548,1570,124227,79.12547771,1
NY,10549,8240,1676875,203.5042476,4
NY,10550,18270,650014,35.57821565,21
NY,10552,10680,780938,73.12153558,10
NY,10553,5670,267506,47.17918871,4
NY,10562,16030,1244453,77.63275109,8
NY,10566,12120,650192,53.64620462,6
NY,10567,9530,962546,101.0016789,7
NY,10570,5940,980865,165.1287879,4
NY,10573,18800,1691594,89.97840426,12
NY,10576,2450,717942,293.037551,1
NY,10577,1520,1031228,678.4394737,6
NY,10579,4340,397525,91.59562212,1
NY,10580,8060,3953749,490.5395782,3
NY,10583,18850,7556935,400.8984085,16
NY,10589,4520,557905,123.4303097,1
NY,10591,11670,1360808,116.6073693,5
NY,10595,3150,372786,118.3447619,2
NY,10598,14410,1610422,111.7572519,4
NY,10601,6050,775524,128.1857851,5
NY,10603,10020,746522,74.50319361,10
NY,10604,5560,682456,122.7438849,1
NY,10605,10060,1391609,138.3309145,11
NY,10606,8150,610124,74.86184049,5
NY,10701,28220,1253549,44.42058824,78
NY,10703,10390,530843,51.09172281,25
NY,10704,16480,990685,60.11438107,51
NY,10705,17900,792458,44.27139665,39
NY,10706,4500,727306,161.6235556,6
NY,10707,5090,545787,107.2273084,5
NY,10708,11400,3141002,275.5264912,21
NY,10710,13970,1025773,73.42684324,30
NY,10801,18080,1164488,64.40752212,27
NY,10803,6030,1245298,206.5170813,10
NY,10804,7200,1536773,213.4406944,1
NY,10805,9030,594843,65.87408638,12
NY,10901,11600,1194845,103.0038793,14
NY,10918,5430,416927,76.78213628,12
NY,10920,4460,366364,82.14439462,4
NY,10925,2540,168089,66.17677165,2
NY,10926,1880,127737,67.94521277,2
NY,10927,5980,231996,38.79531773,4
NY,10930,4390,379878,86.53257403,7
NY,10940,23130,1176455,50.86273238,22
NY,10941,6780,397753,58.66563422,1
NY,10950,16850,1160627,68.87994065,13
NY,10952,12290,1065613,86.70569569,1
NY,10954,12210,955029,78.21695332,4
NY,10956,15960,1804606,113.0705514,17
NY,10958,1590,106806,67.17358491,2
NY,10962,2590,250164,96.58841699,3
NY,10964,730,144630,198.1232877,1
NY,10965,7560,719476,95.16878307,2
NY,10968,1210,152352,125.9107438,1
NY,10970,5080,390271,76.825,4
NY,10977,24790,1272042,51.31270674,3
NY,10980,7010,553710,78.98858773,3
NY,10983,2930,282003,96.24675768,1
NY,10984,1310,105268,80.35725191,2
NY,10985,180,12089,67.16111111,2
NY,10987,1820,305619,167.9225275,1
NY,10989,4940,430485,87.14271255,1
NY,10990,9660,966166,100.0171843,5
NY,10992,4770,346735,72.69077568,8
NY,10993,2480,110932,44.73064516,2
NY,10996,1250,79276,63.4208,1
NY,11001,13660,1132235,82.88689605,271
NY,11003,23190,1141839,49.23842173,68
NY,11004,6690,425523,63.6058296,1031
NY,11005,1470,177157,120.514966,13
NY,11010,12340,874574,70.87309562,16
NY,11020,3020,554523,183.6168874,11
NY,11021,9290,1524069,164.0547901,32
NY,11023,3910,690445,176.584399,10
NY,11024,3190,1071025,335.7445141,4
NY,11030,8510,2761352,324.4831962,21
NY,11040,20930,1959605,93.62661252,184
NY,11050,14680,2602561,177.2861717,20
NY,11096,3780,142162,37.60899471,18
NY,11101,15150,985624,65.05768977,5434
NY,11102,19520,902508,46.23504098,3272
NY,11103,20780,969159,46.63902791,2374
NY,11104,15070,776132,51.50179164,2770
NY,11105,19470,1025761,52.68418079,3197
NY,11106,21910,1051783,48.00470105,3278
NY,11109,3460,467910,135.234104,1248
NY,11201,29680,5197678,175.1239218,10907
NY,11203,36830,1355634,36.80787402,2054
NY,11204,31820,1629709,51.21649906,2819
NY,11205,18110,1023360,56.50800663,3573
NY,11206,35070,1162178,33.1388081,5934
NY,11207,41190,1216052,29.52299102,3760
NY,11208,41860,1189242,28.40998567,3070
NY,11209,33670,2309786,68.6007128,7029
NY,11210,29050,1917008,65.98994836,1763
NY,11211,30520,1822086,59.70137615,5839
NY,11212,36910,1050854,28.47071254,2305
NY,11213,28280,975809,34.50526874,2318
NY,11214,38430,1582385,41.17577413,5092
NY,11215,34930,3965200,113.5184655,10849
NY,11216,27520,1112530,40.42623547,4002
NY,11217,18380,1977420,107.5854189,5721
NY,11218,32840,1652281,50.31306334,5649
NY,11219,33100,1386109,41.87640483,1775
NY,11220,51970,1377267,26.501193,4284
NY,11221,36490,1178856,32.30627569,5216
NY,11222,22060,1284758,58.23925657,5083
NY,11223,31240,1996061,63.89439821,3497
NY,11224,19420,726459,37.40777549,3139
NY,11225,29940,1243230,41.5240481,3437
NY,11226,50400,1741717,34.55787698,5060
NY,11228,18670,1094666,58.63235137,3521
NY,11229,34960,1951637,55.82485698,5001
NY,11230,33900,2217478,65.41233038,3041
NY,11231,16950,1913607,112.8971681,5101
NY,11232,12600,442176,35.09333333,1892
NY,11233,29660,1027186,34.63202967,3073
NY,11234,41180,2449778,59.48950947,6569
NY,11235,36820,1954368,53.07897882,4556
NY,11236,46150,1849528,40.07644637,3040
NY,11237,22710,695514,30.62589168,3024
NY,11238,29270,2102096,71.81742398,6578
NY,11239,6790,249734,36.77967599,1159
NY,11354,28390,1023869,36.06442409,2354
NY,11355,47600,1307545,27.46943277,2608
NY,11356,11830,515291,43.55798817,1549
NY,11357,19350,1489003,76.95105943,3450
NY,11358,18250,1021892,55.99408219,2855
NY,11360,9940,848670,85.37927565,1582
NY,11361,13570,859145,63.31208548,2575
NY,11362,8570,647724,75.58039673,1140
NY,11363,3370,378123,112.2026706,611
NY,11364,17610,1131429,64.24923339,2731
NY,11365,20170,1108366,54.95121468,3033
NY,11366,6590,425878,64.62488619,893
NY,11367,18240,1011705,55.46628289,1926
NY,11368,46510,1266352,27.22752096,3031
NY,11369,17340,592669,34.17929642,1720
NY,11370,13000,542058,41.69676923,1672
NY,11372,34560,1399272,40.48819444,4150
NY,11373,49090,1559337,31.76486046,3650
NY,11374,22240,1251998,56.2948741,2848
NY,11375,35280,3006605,85.22123016,6028
NY,11377,44400,1692841,38.12704955,5060
NY,11378,17100,858779,50.22099415,3402
NY,11379,17330,1081815,62.42440854,4293
NY,11385,47450,1948325,41.06059009,7218
NY,11411,10590,508979,48.06222852,626
NY,11412,18430,745809,40.46711883,1052
NY,11413,20830,940867,45.16884301,1039
NY,11414,12720,817929,64.30259434,2517
NY,11415,9480,567144,59.82531646,1529
NY,11416,11740,383883,32.69872232,1001
NY,11417,14400,579544,40.24611111,1868
NY,11418,16990,670034,39.43696292,1816
NY,11419,22960,737213,32.10858014,1217
NY,11420,21780,839487,38.54393939,1514
NY,11421,19920,746964,37.49819277,2122
NY,11422,15860,730375,46.05138714,875
NY,11423,14870,657303,44.20329523,800
NY,11426,9180,529466,57.67603486,1210
NY,11427,11490,629520,54.78851175,962
NY,11428,9880,429292,43.45060729,673
NY,11429,12740,520269,40.83744113,624
NY,11430,170,8498,49.98823529,3
NY,11432,27300,1206344,44.18842491,1593
NY,11433,15530,521098,33.55428203,863
NY,11434,31030,1232331,39.71417983,1753
