,title,rating,date_added,duration
0,9,PG-13,16-Nov-17,80 min
1,21,PG-13,1-Jan-20,123 min
2,Æon Flux,PG-13,1-Feb-18,93 min
3,"10,000 B.C.",PG-13,1-Jun-19,109 min
4,16 Blocks,PG-13,1-Nov-19,102 min
5,17 Again,PG-13,1-Jan-21,102 min
6,20 Feet From Stardom,PG-13,22-Sep-18,91 min
7,28 Days,PG-13,30-Sep-20,104 min
8,3 Days to Kill,PG-13,1-Dec-20,117 min
9,3 Generations,PG-13,28-Aug-17,92 min
10,3 Idiots,PG-13,1-Aug-19,164 min
11,5 Flights Up,PG-13,17-Mar-19,92 min
12,50 First Dates,PG-13,1-Dec-20,99 min
13,A 2nd Chance,PG,1-Jul-17,95 min
14,A Boy Called Po,PG,15-Jan-18,94 min
15,A Bridge Too Far,PG,1-Jul-20,176 min
16,A California Christmas,PG-13,14-Dec-20,107 min
17,A Champion Heart,G,14-Apr-20,90 min
18,A Cinderella Story,PG,1-Jan-20,95 min
19,A Cinderella Story: Christmas Wish,PG,1-Dec-19,86 min
20,A Monster Calls,PG-13,16-Jan-21,108 min
21,A Murder in the Park,PG-13,28-Apr-17,91 min
22,A Night at the Roxbury,PG-13,1-Dec-19,82 min
23,A Separation,PG-13,16-Mar-19,123 min
24,A Shaun the Sheep Movie: Farmageddon,G,14-Feb-20,87 min
25,A Tale of Love and Darkness,PG-13,25-Oct-19,98 min
26,A Thousand Words,PG-13,1-Jul-20,92 min
27,A Walk to Remember,PG,1-Jul-20,102 min
28,A Witches' Ball,PG,1-Oct-18,91 min
29,A Wrinkle in Time,PG,25-Sep-18,110 min
30,A.X.L.,PG,20-Mar-19,99 min
31,About a Boy,PG-13,1-Feb-19,101 min
32,Across the Universe,PG-13,1-Jan-19,133 min
33,Adrift,PG-13,1-Sep-20,96 min
34,After,PG-13,9-Oct-19,106 min
35,Alice Doesn't Live Here Anymore,PG,1-Jul-19,112 min
36,Aliens Ate My Homework,PG,6-Mar-18,90 min
37,All Dogs Go to Heaven,G,1-Jun-20,85 min
38,All Together Now,PG,29-Aug-20,94 min
39,Amandla! A Revolution in Four Part Harmony,PG-13,28-Sep-20,103 min
40,An American Tail,G,1-Apr-18,80 min
41,An American Tail: Fievel Goes West,G,1-Apr-18,75 min
42,An American Tail: The Mystery of the Night Monster,G,1-Apr-18,75 min
43,An American Tail: The Treasures of Manhattan Island,G,1-Apr-18,79 min
44,Angels & Demons,PG-13,1-Dec-20,139 min
45,Anger Management,PG-13,1-Nov-19,105 min
46,Ant-Man and the Wasp,PG-13,29-Jan-19,118 min
47,Apollo 18,PG-13,9-Mar-19,87 min
48,April and the Extraordinary World,PG,1-Oct-17,107 min
49,Arctic Dogs,PG,4-May-20,93 min
50,Arthur,PG-13,1-Apr-19,110 min
51,Arthur Christmas,PG,1-Jan-20,98 min
52,As Good as It Gets,PG-13,1-Jan-20,139 min
53,Athlete A,PG-13,24-Jun-20,104 min
54,Atlas Shrugged: Part II,PG-13,19-Dec-20,112 min
55,Austin Powers in Goldmember,PG-13,1-Dec-19,94 min
56,Austin Powers: International Man of Mystery,PG-13,1-Dec-19,90 min
57,Austin Powers: The Spy Who Shagged Me,PG-13,1-Dec-19,95 min
58,Avengers: Infinity War,PG-13,25-Dec-18,150 min
59,Balto,G,1-Apr-18,78 min
60,Balto 2: Wolf Quest,G,1-Apr-18,75 min
61,Balto 3: Wings of Change,G,1-Apr-18,78 min
62,Barely Lethal,PG-13,26-Jul-18,99 min
63,Bathtubs Over Broadway,PG-13,9-May-19,87 min
64,Be Somebody,PG,20-Nov-19,88 min
65,Bean: The Ultimate Disaster Movie,PG-13,1-Aug-18,89 min
66,Beavis and Butt-head Do America,PG-13,20-Nov-19,81 min
67,Bebe's Kids,PG-13,20-Nov-19,73 min
68,Becoming,PG,6-May-20,89 min
69,Becoming Jane,PG-13,12-Jan-19,121 min
70,Bedtime Stories,PG,5-Mar-19,100 min
71,Bee Movie,PG,1-Jan-17,92 min
72,Before I Fall,PG-13,8-Jun-20,98 min
73,Before I Wake,PG-13,5-Jan-18,97 min
74,Before the Flood,PG,1-Feb-18,97 min
75,Being Elmo: A Puppeteer's Journey,PG,21-Feb-12,76 min
76,Benchwarmers 2: Breaking Balls,PG-13,31-Dec-19,90 min
77,Benji: Off the Leash,PG,6-Mar-18,100 min
78,Bennett's War,PG-13,2-May-20,94 min
79,Bethany Hamilton: Unstoppable,PG,25-Mar-20,100 min
80,Big Daddy,PG-13,1-Oct-20,93 min
81,Big Fat Liar,PG,15-Jan-20,88 min
82,Big Miracle,PG,30-Sep-18,107 min
83,Big Stone Gap,PG-13,5-Jun-20,103 min
84,Bigger Fatter Liar,PG,18-Apr-17,95 min
85,Black Panther,PG-13,4-Sep-18,135 min
86,Blackfish,PG-13,1-May-20,83 min
87,Blackway,PG-13,15-Dec-17,90 min
88,Blinky Bill: The Movie,PG,8-Feb-17,91 min
89,Blue Jasmine,PG-13,8-Mar-19,98 min
90,Blue Streak,PG-13,1-Jan-21,94 min
91,Bobbleheads The Movie,PG,8-Dec-20,83 min
92,Bolt,PG,22-Jul-18,99 min
93,Boy and the World,PG,1-Oct-17,80 min
94,Brain on Fire,PG-13,22-Jun-18,89 min
95,Bratz: The Movie,PG,29-Jun-20,102 min
96,Bring It On: Worldwide Showdown,PG-13,29-Aug-17,95 min
97,Bully,PG-13,29-Sep-20,98 min
98,Burlesque,PG-13,16-Dec-19,119 min
99,Can't Hardly Wait,PG-13,1-Jan-21,101 min
100,Canvas,G,11-Dec-20,9 min
101,Carriers,PG-13,20-Nov-19,85 min
102,Casino Royale,PG-13,31-Aug-20,145 min
103,Catch Me If You Can,PG-13,1-Jan-21,141 min
104,Cats & Dogs: The Revenge of Kitty Galore,PG,1-Feb-19,82 min
105,Center Stage,PG-13,1-Jan-20,116 min
106,Change in the Air,PG,1-Mar-20,95 min
107,Chappaquiddick,PG-13,1-Oct-18,106 min
108,Charlie and the Chocolate Factory,PG,1-Jan-20,115 min
109,Charlie's Angels,PG-13,1-Oct-19,98 min
110,Charlie's Angels: Full Throttle,PG-13,1-Oct-19,106 min
111,Charlotte's Web,G,23-Nov-19,94 min
112,Chicken Little,G,16-Mar-16,82 min
113,Chitty Chitty Bang Bang,G,1-Jan-20,146 min
114,Christian Mingle,PG,6-Jun-19,99 min
115,Christmas Wedding Planner,PG,15-Nov-18,86 min
116,Christmas with the Kranks,PG,1-Jan-19,99 min
117,Christopher Robin,PG,5-Mar-19,104 min
118,Cirque du Freak: The Vampire's Assistant,PG-13,16-Apr-18,109 min
119,Clash of the Titans,PG-13,1-Aug-19,106 min
120,Cleopatra Jones,PG,1-Nov-19,89 min
121,Click,PG-13,1-Jan-20,108 min
122,Cloudy with a Chance of Meatballs,PG,1-Jan-21,90 min
123,Cloudy with a Chance of Meatballs 2,PG,15-Nov-20,95 min
124,Cloverfield,PG-13,1-Jan-20,85 min
125,Coach Carter,PG-13,1-Jan-20,137 min
126,Code Name: The Cleaner,PG-13,1-Nov-19,91 min
127,Cop and a Half: New Recruit,PG,17-Aug-17,96 min
128,Cops and Robbers,PG-13,28-Dec-20,8 min
129,Coraline,PG,16-Mar-17,101 min
130,"Crouching Tiger, Hidden Dragon",PG-13,1-Mar-19,120 min
131,"Crouching Tiger, Hidden Dragon: Sword of Destiny",PG-13,26-Feb-16,101 min
132,Dad,PG,1-Apr-18,117 min
133,Daddy Day Care,PG,1-Jan-19,93 min
134,Dante's Peak,PG-13,1-Sep-19,108 min
135,Dark Skies,PG-13,22-Jun-20,97 min
136,David Attenborough: A Life on Our Planet,PG,4-Oct-20,84 min
137,Dean,PG-13,15-Mar-20,94 min
138,Deep,PG,23-Nov-17,93 min
139,Dick Johnson Is Dead,PG-13,2-Oct-20,90 min
140,Die Another Day,PG-13,31-Dec-19,133 min
141,Dinner for Schmucks,PG-13,1-Jan-20,115 min
142,Doctor Zhivago,PG-13,1-Nov-19,200 min
143,Dolphin Tale 2,PG,25-Feb-19,107 min
144,Don Verdean,PG-13,1-Mar-20,96 min
145,Doubt,PG-13,7-Mar-19,104 min
146,Dovlatov,PG-13,26-Oct-18,126 min
147,Dr. Seuss' The Cat in the Hat,PG,1-May-19,82 min
148,Dr. Seuss' The Grinch,PG,5-Jun-19,86 min
149,Dr. Seuss' The Lorax,PG,7-Jul-20,86 min
150,Dragonheart,PG-13,1-Jan-20,103 min
151,Dragonheart 3: The Sorcerer,PG-13,1-Jan-20,97 min
152,Dragonheart: A New Beginning,PG,1-Jan-20,84 min
153,Dragonheart: Battle for the Heartfire,PG-13,13-Jun-17,98 min
154,Dragonheart: Vengeance,PG-13,4-Feb-20,97 min
155,Duck Duck Goose,PG,20-Jul-18,92 min
156,Dumb and Dumberer: When Harry Met Lloyd,PG-13,1-Oct-19,85 min
157,Dumplin',PG-13,7-Dec-18,110 min
158,Earth to Echo,PG,1-Oct-19,91 min
159,East Side Sushi,PG,15-Sep-20,106 min
160,Easy A,PG-13,1-Nov-20,92 min
161,Eat Pray Love,PG-13,10-Sep-19,140 min
162,Echo in the Canyon,PG-13,24-Oct-19,82 min
163,Effie Gray,PG-13,1-Dec-20,109 min
164,Elliot the Littlest Reindeer,PG,1-Nov-20,90 min
165,Employee of the Month,PG-13,1-Oct-20,108 min
166,Enola Holmes,PG-13,23-Sep-20,124 min
167,Enter the Warriors Gate,PG-13,5-Aug-17,105 min
168,Equals,PG-13,28-Oct-18,102 min
169,Eurovision Song Contest: The Story of Fire Saga,PG-13,26-Jun-20,124 min
170,Evan Almighty,PG,16-Apr-19,96 min
171,Evolution,PG-13,20-Nov-19,102 min
172,"Faith, Hope & Love",PG,4-Feb-20,106 min
173,Ferris Bueller's Day Off,PG-13,3-Jan-20,103 min
174,Fiddler on the Roof,G,1-Jul-20,181 min
175,Fisherman's Friends,PG-13,22-Oct-20,112 min
176,Flash of Genius,PG-13,16-Jan-17,119 min
177,Footprints: The Path of Your Life,PG,30-Jun-17,90 min
178,For the Love of Benji,G,6-Mar-18,84 min
179,Forbidden Planet,G,1-Nov-19,98 min
180,Forks Over Knives,PG,3-Oct-19,96 min
181,Four Christmases,PG-13,1-Jan-21,88 min
182,Fred Claus,PG,1-Jan-21,115 min
183,Free Willy,PG,1-Jan-20,112 min
184,Froning: The Fittest Man in History,PG,15-Jul-18,99 min
185,G-Force,PG,15-Mar-19,88 min
186,Garfield's Pet Force,G,1-Jan-20,78 min
187,Generation Iron 2,PG-13,1-Oct-17,107 min
188,George of the Jungle 2,PG,20-Dec-16,87 min
189,Get Santa,PG,12-Dec-14,103 min
190,Get Smart,PG-13,1-Apr-19,110 min
191,Getting Played,PG-13,1-Nov-19,85 min
192,Ghost of the Mountains,G,13-Sep-17,78 min
193,Ghost Rider,PG-13,1-Oct-20,110 min
194,Gigi,G,1-Nov-19,115 min
195,Gimme Shelter,PG-13,1-Jan-21,101 min
196,Ginger & Rosa,PG-13,15-Jul-18,90 min
197,Giving Voice,PG-13,11-Dec-20,91 min
198,Gnome Alone,PG,19-Oct-18,86 min
199,God Bless the Broken Road,PG,9-Feb-19,111 min
200,God's Not Dead,PG,1-Apr-20,113 min
201,God's Not Dead: A Light in Darkness,PG,4-Dec-18,106 min
202,GoldenEye,PG-13,31-Dec-19,130 min
203,Good Burger,PG,1-Jan-21,96 min
204,Good Hair,PG-13,1-Jan-21,96 min
205,"Good Night, and Good Luck",PG,2-Jun-19,93 min
206,Goosebumps 2: Haunted Halloween,PG,25-Apr-19,90 min
207,Grand-Daddy Day Care,PG-13,25-Dec-19,96 min
208,Grease,PG,1-Nov-19,110 min
209,Greater,PG,31-Mar-20,131 min
210,Growing Up Wild,G,19-Feb-17,78 min
211,"Hail, Caesar!",PG-13,16-Apr-20,106 min
212,Hairspray,PG,1-Jan-20,116 min
213,HALO Legends,PG-13,1-May-17,117 min
214,Happy as Lazzaro,PG-13,30-Nov-18,127 min
215,He Named Me Malala,PG-13,1-Jun-18,89 min
216,Heartbreakers,PG-13,31-Dec-19,124 min
217,Hedgehogs,PG,1-Apr-19,94 min
218,Hellboy,PG-13,1-Dec-18,122 min
219,Hitch,PG-13,1-Jan-20,118 min
220,Holly Star,PG,1-Nov-19,92 min
221,Honey 2,PG-13,1-Oct-19,111 min
222,Honey: Rise Up and Dance,PG-13,3-Apr-18,100 min
223,Hoodwinked Too! Hood vs. Evil,PG,3-Nov-18,86 min
224,Hook,PG,15-Jan-21,142 min
225,Hop,PG,16-Jan-20,95 min
226,Hope Springs Eternal,PG,8-Nov-18,79 min
227,Hot Rod,PG-13,20-Nov-19,88 min
228,Hotel for Dogs,PG,2-Sep-20,101 min
229,Hotel Transylvania 3: Summer Vacation,PG,24-Jan-19,97 min
230,House at the End of the Street,PG-13,8-May-20,101 min
231,How the Grinch Stole Christmas,PG,1-Jun-17,105 min
232,How to Be a Latin Lover,PG-13,1-Nov-19,116 min
233,How to Make an American Quilt,PG-13,1-Apr-18,116 min
234,How to Train Your Dragon 2,PG,11-Sep-20,102 min
235,Howards End,PG,16-Mar-17,143 min
236,Hubie Halloween,PG-13,7-Oct-20,104 min
237,Hugo,PG,1-Mar-20,127 min
238,Hulk Vs.,PG-13,1-Jun-20,83 min
239,Hunt for the Wilderpeople,PG-13,1-Oct-20,101 min
240,I Am Bolt,PG,1-Oct-17,107 min
241,I Am Not Your Negro,PG-13,3-Jul-20,94 min
242,I Don't Know How She Does It,PG-13,23-Mar-19,89 min
243,I'll See You in My Dreams,PG-13,22-Oct-19,96 min
244,I'm in Love with a Church Girl,PG,1-Oct-17,119 min
245,If Anything Happens I Love You,PG,20-Nov-20,13 min
246,Igor,PG,1-Sep-19,87 min
247,Imagine That,PG,7-Dec-19,108 min
248,In The Deep,PG-13,10-Jan-18,89 min
249,In This Corner of the World,PG-13,15-Mar-18,129 min
250,Incarnate,PG-13,16-Dec-20,87 min
251,Inception,PG-13,1-Jan-20,148 min
252,Incredibles 2 (Spanish Version),PG,8-Feb-19,118 min
253,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,1-Jan-19,123 min
254,Indiana Jones and the Last Crusade,PG-13,1-Jan-19,127 min
255,Indiana Jones and the Raiders of the Lost Ark,PG,1-Jan-19,116 min
256,Indiana Jones and the Temple of Doom,PG,1-Jan-19,119 min
257,Inequality for All,PG,29-Aug-18,90 min
258,Inkheart,PG,1-Jul-19,106 min
259,Insidious,PG-13,9-May-19,103 min
260,Instructions Not Included,PG-13,1-Jan-20,122 min
261,Invictus,PG-13,1-Nov-19,134 min
262,Ip Man 3,PG-13,18-Jun-16,105 min
263,Iron Man & Captain America: Heroes United,PG,12-Oct-14,71 min
264,It Takes Two,PG,20-Nov-19,101 min
265,Jack and the Cuckoo-Clock Heart,PG,8-Feb-17,93 min
266,Jem and the Holograms,PG,16-Apr-20,119 min
267,Jeremy Scott: The People's Designer,PG-13,1-Apr-16,109 min
268,Jimmy Neutron: Boy Genius,G,1-Jan-20,83 min
269,Jingle Jangle: A Christmas Journey,PG,13-Nov-20,124 min
270,Jiro Dreams of Sushi,PG,5-Jun-19,79 min
271,John Carter,PG-13,2-May-19,133 min
272,Judy Moody and the Not Bummer Summer,PG,8-Aug-19,91 min
273,Julie & Julia,PG-13,1-Jan-21,123 min
274,Jumping the Broom,PG-13,1-Nov-20,113 min
275,Jupiter Ascending,PG-13,1-Aug-19,128 min
276,Just Friends,PG-13,1-Sep-19,94 min
277,Justin Bieber: Never Say Never,G,1-Jan-18,106 min
278,K-19: The Widowmaker,PG-13,21-Nov-19,138 min
279,Kahlil Gibran's The Prophet,PG,1-Oct-17,85 min
280,Kate & Leopold,PG-13,1-Jan-20,118 min
281,Killer Klowns from Outer Space,PG-13,1-Apr-20,86 min
282,Killers,PG-13,1-Jan-21,100 min
283,King's Ransom,PG-13,1-Nov-19,98 min
284,Kingpin,PG-13,1-Jan-20,114 min
285,Klaus,PG,15-Nov-19,98 min
286,Knock Down The House,PG,1-May-19,88 min
287,Knowing,PG-13,1-Oct-19,121 min
288,Kon-Tiki,PG-13,26-Apr-19,96 min
289,La Bamba,PG-13,1-Jan-20,109 min
290,Lady Driver,PG,2-May-20,104 min
291,Lady in the Water,PG-13,1-Jul-19,110 min
292,Lagaan,PG,10-Jan-21,224 min
293,Leap Year,PG,15-Nov-19,100 min
294,Leap!,PG,7-Jan-21,89 min
295,Lee Daniels' The Butler,PG-13,16-Dec-20,132 min
296,Left Behind,PG-13,26-Dec-18,110 min
297,Legend of the Guardians: The Owls of Ga'Hoole,PG,1-Jan-20,97 min
298,Les Misérables,PG-13,16-Aug-20,158 min
299,Let It Snow,PG-13,8-Nov-19,93 min
300,Lincoln,PG-13,21-Feb-18,150 min
301,Little Men,PG,12-Jan-17,85 min
302,Little Monsters,PG,1-Nov-20,102 min
303,Little Nicky,PG-13,1-Dec-20,90 min
304,Lo and Behold: Reveries of the Connected World,PG-13,23-Dec-16,98 min
305,Lockout,PG-13,7-May-20,95 min
