9,PG-13,16-Nov-17,80 min
21,PG-13,1-Jan-20,123 min
Æon Flux,PG-13,1-Feb-18,93 min
"10,000 B.C.",PG-13,1-Jun-19,109 min
16 Blocks,PG-13,1-Nov-19,102 min
17 Again,PG-13,1-Jan-21,102 min
20 Feet From Stardom,PG-13,22-Sep-18,91 min
28 Days,PG-13,30-Sep-20,104 min
3 Days to Kill,PG-13,1-Dec-20,117 min
3 Generations,PG-13,28-Aug-17,92 min
3 Idiots,PG-13,1-Aug-19,164 min
5 Flights Up,PG-13,17-Mar-19,92 min
50 First Dates,PG-13,1-Dec-20,99 min
A 2nd Chance,PG,1-Jul-17,95 min
A Boy Called Po,PG,15-Jan-18,94 min
A Bridge Too Far,PG,1-Jul-20,176 min
A California Christmas,PG-13,14-Dec-20,107 min
A Champion Heart,G,14-Apr-20,90 min
A Cinderella Story,PG,1-Jan-20,95 min
A Cinderella Story: Christmas Wish,PG,1-Dec-19,86 min
A Monster Calls,PG-13,16-Jan-21,108 min
A Murder in the Park,PG-13,28-Apr-17,91 min
A Night at the Roxbury,PG-13,1-Dec-19,82 min
A Separation,PG-13,16-Mar-19,123 min
A Shaun the Sheep Movie: Farmageddon,G,14-Feb-20,87 min
A Tale of Love and Darkness,PG-13,25-Oct-19,98 min
A Thousand Words,PG-13,1-Jul-20,92 min
A Walk to Remember,PG,1-Jul-20,102 min
A Witches' Ball,PG,1-Oct-18,91 min
A Wrinkle in Time,PG,25-Sep-18,110 min
A.X.L.,PG,20-Mar-19,99 min
About a Boy,PG-13,1-Feb-19,101 min
Across the Universe,PG-13,1-Jan-19,133 min
Adrift,PG-13,1-Sep-20,96 min
After,PG-13,9-Oct-19,106 min
Alice Doesn't Live Here Anymore,PG,1-Jul-19,112 min
Aliens Ate My Homework,PG,6-Mar-18,90 min
All Dogs Go to Heaven,G,1-Jun-20,85 min
All Together Now,PG,29-Aug-20,94 min
Amandla! A Revolution in Four Part Harmony,PG-13,28-Sep-20,103 min
An American Tail,G,1-Apr-18,80 min
An American Tail: Fievel Goes West,G,1-Apr-18,75 min
An American Tail: The Mystery of the Night Monster,G,1-Apr-18,75 min
An American Tail: The Treasures of Manhattan Island,G,1-Apr-18,79 min
Angels & Demons,PG-13,1-Dec-20,139 min
Anger Management,PG-13,1-Nov-19,105 min
Ant-Man and the Wasp,PG-13,29-Jan-19,118 min
Apollo 18,PG-13,9-Mar-19,87 min
April and the Extraordinary World,PG,1-Oct-17,107 min
Arctic Dogs,PG,4-May-20,93 min
Arthur,PG-13,1-Apr-19,110 min
Arthur Christmas,PG,1-Jan-20,98 min
As Good as It Gets,PG-13,1-Jan-20,139 min
Athlete A,PG-13,24-Jun-20,104 min
Atlas Shrugged: Part II,PG-13,19-Dec-20,112 min
Austin Powers in Goldmember,PG-13,1-Dec-19,94 min
Austin Powers: International Man of Mystery,PG-13,1-Dec-19,90 min
Austin Powers: The Spy Who Shagged Me,PG-13,1-Dec-19,95 min
Avengers: Infinity War,PG-13,25-Dec-18,150 min
Balto,G,1-Apr-18,78 min
Balto 2: Wolf Quest,G,1-Apr-18,75 min
Balto 3: Wings of Change,G,1-Apr-18,78 min
Barely Lethal,PG-13,26-Jul-18,99 min
Bathtubs Over Broadway,PG-13,9-May-19,87 min
Be Somebody,PG,20-Nov-19,88 min
Bean: The Ultimate Disaster Movie,PG-13,1-Aug-18,89 min
Beavis and Butt-head Do America,PG-13,20-Nov-19,81 min
Bebe's Kids,PG-13,20-Nov-19,73 min
Becoming,PG,6-May-20,89 min
Becoming Jane,PG-13,12-Jan-19,121 min
Bedtime Stories,PG,5-Mar-19,100 min
Bee Movie,PG,1-Jan-17,92 min
Before I Fall,PG-13,8-Jun-20,98 min
Before I Wake,PG-13,5-Jan-18,97 min
Before the Flood,PG,1-Feb-18,97 min
Being Elmo: A Puppeteer's Journey,PG,21-Feb-12,76 min
Benchwarmers 2: Breaking Balls,PG-13,31-Dec-19,90 min
Benji: Off the Leash,PG,6-Mar-18,100 min
Bennett's War,PG-13,2-May-20,94 min
Bethany Hamilton: Unstoppable,PG,25-Mar-20,100 min
Big Daddy,PG-13,1-Oct-20,93 min
Big Fat Liar,PG,15-Jan-20,88 min
Big Miracle,PG,30-Sep-18,107 min
Big Stone Gap,PG-13,5-Jun-20,103 min
Bigger Fatter Liar,PG,18-Apr-17,95 min
Black Panther,PG-13,4-Sep-18,135 min
Blackfish,PG-13,1-May-20,83 min
Blackway,PG-13,15-Dec-17,90 min
Blinky Bill: The Movie,PG,8-Feb-17,91 min
Blue Jasmine,PG-13,8-Mar-19,98 min
Blue Streak,PG-13,1-Jan-21,94 min
Bobbleheads The Movie,PG,8-Dec-20,83 min
Bolt,PG,22-Jul-18,99 min
Boy and the World,PG,1-Oct-17,80 min
Brain on Fire,PG-13,22-Jun-18,89 min
Bratz: The Movie,PG,29-Jun-20,102 min
Bring It On: Worldwide Showdown,PG-13,29-Aug-17,95 min
Bully,PG-13,29-Sep-20,98 min
Burlesque,PG-13,16-Dec-19,119 min
Can't Hardly Wait,PG-13,1-Jan-21,101 min
Canvas,G,11-Dec-20,9 min
Carriers,PG-13,20-Nov-19,85 min
Casino Royale,PG-13,31-Aug-20,145 min
Catch Me If You Can,PG-13,1-Jan-21,141 min
Cats & Dogs: The Revenge of Kitty Galore,PG,1-Feb-19,82 min
Center Stage,PG-13,1-Jan-20,116 min
Change in the Air,PG,1-Mar-20,95 min
Chappaquiddick,PG-13,1-Oct-18,106 min
Charlie and the Chocolate Factory,PG,1-Jan-20,115 min
Charlie's Angels,PG-13,1-Oct-19,98 min
Charlie's Angels: Full Throttle,PG-13,1-Oct-19,106 min
Charlotte's Web,G,23-Nov-19,94 min
Chicken Little,G,16-Mar-16,82 min
Chitty Chitty Bang Bang,G,1-Jan-20,146 min
Christian Mingle,PG,6-Jun-19,99 min
Christmas Wedding Planner,PG,15-Nov-18,86 min
Christmas with the Kranks,PG,1-Jan-19,99 min
Christopher Robin,PG,5-Mar-19,104 min
Cirque du Freak: The Vampire's Assistant,PG-13,16-Apr-18,109 min
Clash of the Titans,PG-13,1-Aug-19,106 min
Cleopatra Jones,PG,1-Nov-19,89 min
Click,PG-13,1-Jan-20,108 min
Cloudy with a Chance of Meatballs,PG,1-Jan-21,90 min
Cloudy with a Chance of Meatballs 2,PG,15-Nov-20,95 min
Cloverfield,PG-13,1-Jan-20,85 min
Coach Carter,PG-13,1-Jan-20,137 min
Code Name: The Cleaner,PG-13,1-Nov-19,91 min
Cop and a Half: New Recruit,PG,17-Aug-17,96 min
Cops and Robbers,PG-13,28-Dec-20,8 min
Coraline,PG,16-Mar-17,101 min
"Crouching Tiger, Hidden Dragon",PG-13,1-Mar-19,120 min
"Crouching Tiger, Hidden Dragon: Sword of Destiny",PG-13,26-Feb-16,101 min
Dad,PG,1-Apr-18,117 min
Daddy Day Care,PG,1-Jan-19,93 min
Dante's Peak,PG-13,1-Sep-19,108 min
Dark Skies,PG-13,22-Jun-20,97 min
David Attenborough: A Life on Our Planet,PG,4-Oct-20,84 min
Dean,PG-13,15-Mar-20,94 min
Deep,PG,23-Nov-17,93 min
Dick Johnson Is Dead,PG-13,2-Oct-20,90 min
Die Another Day,PG-13,31-Dec-19,133 min
Dinner for Schmucks,PG-13,1-Jan-20,115 min
Doctor Zhivago,PG-13,1-Nov-19,200 min
Dolphin Tale 2,PG,25-Feb-19,107 min
Don Verdean,PG-13,1-Mar-20,96 min
Doubt,PG-13,7-Mar-19,104 min
Dovlatov,PG-13,26-Oct-18,126 min
Dr. Seuss' The Cat in the Hat,PG,1-May-19,82 min
Dr. Seuss' The Grinch,PG,5-Jun-19,86 min
Dr. Seuss' The Lorax,PG,7-Jul-20,86 min
Dragonheart,PG-13,1-Jan-20,103 min
Dragonheart 3: The Sorcerer,PG-13,1-Jan-20,97 min
Dragonheart: A New Beginning,PG,1-Jan-20,84 min
Dragonheart: Battle for the Heartfire,PG-13,13-Jun-17,98 min
Dragonheart: Vengeance,PG-13,4-Feb-20,97 min
Duck Duck Goose,PG,20-Jul-18,92 min
Dumb and Dumberer: When Harry Met Lloyd,PG-13,1-Oct-19,85 min
Dumplin',PG-13,7-Dec-18,110 min
Earth to Echo,PG,1-Oct-19,91 min
East Side Sushi,PG,15-Sep-20,106 min
Easy A,PG-13,1-Nov-20,92 min
Eat Pray Love,PG-13,10-Sep-19,140 min
Echo in the Canyon,PG-13,24-Oct-19,82 min
Effie Gray,PG-13,1-Dec-20,109 min
Elliot the Littlest Reindeer,PG,1-Nov-20,90 min
Employee of the Month,PG-13,1-Oct-20,108 min
Enola Holmes,PG-13,23-Sep-20,124 min
Enter the Warriors Gate,PG-13,5-Aug-17,105 min
Equals,PG-13,28-Oct-18,102 min
Eurovision Song Contest: The Story of Fire Saga,PG-13,26-Jun-20,124 min
Evan Almighty,PG,16-Apr-19,96 min
Evolution,PG-13,20-Nov-19,102 min
"Faith, Hope & Love",PG,4-Feb-20,106 min
Ferris Bueller's Day Off,PG-13,3-Jan-20,103 min
Fiddler on the Roof,G,1-Jul-20,181 min
Fisherman's Friends,PG-13,22-Oct-20,112 min
Flash of Genius,PG-13,16-Jan-17,119 min
Footprints: The Path of Your Life,PG,30-Jun-17,90 min
For the Love of Benji,G,6-Mar-18,84 min
Forbidden Planet,G,1-Nov-19,98 min
Forks Over Knives,PG,3-Oct-19,96 min
Four Christmases,PG-13,1-Jan-21,88 min
Fred Claus,PG,1-Jan-21,115 min
Free Willy,PG,1-Jan-20,112 min
Froning: The Fittest Man in History,PG,15-Jul-18,99 min
G-Force,PG,15-Mar-19,88 min
Garfield's Pet Force,G,1-Jan-20,78 min
Generation Iron 2,PG-13,1-Oct-17,107 min
George of the Jungle 2,PG,20-Dec-16,87 min
Get Santa,PG,12-Dec-14,103 min
Get Smart,PG-13,1-Apr-19,110 min
Getting Played,PG-13,1-Nov-19,85 min
Ghost of the Mountains,G,13-Sep-17,78 min
Ghost Rider,PG-13,1-Oct-20,110 min
Gigi,G,1-Nov-19,115 min
Gimme Shelter,PG-13,1-Jan-21,101 min
Ginger & Rosa,PG-13,15-Jul-18,90 min
Giving Voice,PG-13,11-Dec-20,91 min
Gnome Alone,PG,19-Oct-18,86 min
God Bless the Broken Road,PG,9-Feb-19,111 min
God's Not Dead,PG,1-Apr-20,113 min
God's Not Dead: A Light in Darkness,PG,4-Dec-18,106 min
GoldenEye,PG-13,31-Dec-19,130 min
Good Burger,PG,1-Jan-21,96 min
Good Hair,PG-13,1-Jan-21,96 min
"Good Night, and Good Luck",PG,2-Jun-19,93 min
Goosebumps 2: Haunted Halloween,PG,25-Apr-19,90 min
Grand-Daddy Day Care,PG-13,25-Dec-19,96 min
Grease,PG,1-Nov-19,110 min
Greater,PG,31-Mar-20,131 min
Growing Up Wild,G,19-Feb-17,78 min
"Hail, Caesar!",PG-13,16-Apr-20,106 min
Hairspray,PG,1-Jan-20,116 min
HALO Legends,PG-13,1-May-17,117 min
Happy as Lazzaro,PG-13,30-Nov-18,127 min
He Named Me Malala,PG-13,1-Jun-18,89 min
Heartbreakers,PG-13,31-Dec-19,124 min
Hedgehogs,PG,1-Apr-19,94 min
Hellboy,PG-13,1-Dec-18,122 min
Hitch,PG-13,1-Jan-20,118 min
Holly Star,PG,1-Nov-19,92 min
Honey 2,PG-13,1-Oct-19,111 min
Honey: Rise Up and Dance,PG-13,3-Apr-18,100 min
Hoodwinked Too! Hood vs. Evil,PG,3-Nov-18,86 min
Hook,PG,15-Jan-21,142 min
Hop,PG,16-Jan-20,95 min
Hope Springs Eternal,PG,8-Nov-18,79 min
Hot Rod,PG-13,20-Nov-19,88 min
Hotel for Dogs,PG,2-Sep-20,101 min
Hotel Transylvania 3: Summer Vacation,PG,24-Jan-19,97 min
House at the End of the Street,PG-13,8-May-20,101 min
How the Grinch Stole Christmas,PG,1-Jun-17,105 min
How to Be a Latin Lover,PG-13,1-Nov-19,116 min
How to Make an American Quilt,PG-13,1-Apr-18,116 min
How to Train Your Dragon 2,PG,11-Sep-20,102 min
Howards End,PG,16-Mar-17,143 min
Hubie Halloween,PG-13,7-Oct-20,104 min
Hugo,PG,1-Mar-20,127 min
Hulk Vs.,PG-13,1-Jun-20,83 min
Hunt for the Wilderpeople,PG-13,1-Oct-20,101 min
I Am Bolt,PG,1-Oct-17,107 min
I Am Not Your Negro,PG-13,3-Jul-20,94 min
I Don't Know How She Does It,PG-13,23-Mar-19,89 min
I'll See You in My Dreams,PG-13,22-Oct-19,96 min
I'm in Love with a Church Girl,PG,1-Oct-17,119 min
If Anything Happens I Love You,PG,20-Nov-20,13 min
Igor,PG,1-Sep-19,87 min
Imagine That,PG,7-Dec-19,108 min
In The Deep,PG-13,10-Jan-18,89 min
In This Corner of the World,PG-13,15-Mar-18,129 min
Incarnate,PG-13,16-Dec-20,87 min
Inception,PG-13,1-Jan-20,148 min
Incredibles 2 (Spanish Version),PG,8-Feb-19,118 min
Indiana Jones and the Kingdom of the Crystal Skull,PG-13,1-Jan-19,123 min
Indiana Jones and the Last Crusade,PG-13,1-Jan-19,127 min
Indiana Jones and the Raiders of the Lost Ark,PG,1-Jan-19,116 min
Indiana Jones and the Temple of Doom,PG,1-Jan-19,119 min
Inequality for All,PG,29-Aug-18,90 min
Inkheart,PG,1-Jul-19,106 min
Insidious,PG-13,9-May-19,103 min
Instructions Not Included,PG-13,1-Jan-20,122 min
Invictus,PG-13,1-Nov-19,134 min
Ip Man 3,PG-13,18-Jun-16,105 min
Iron Man & Captain America: Heroes United,PG,12-Oct-14,71 min
It Takes Two,PG,20-Nov-19,101 min
Jack and the Cuckoo-Clock Heart,PG,8-Feb-17,93 min
Jem and the Holograms,PG,16-Apr-20,119 min
Jeremy Scott: The People's Designer,PG-13,1-Apr-16,109 min
Jimmy Neutron: Boy Genius,G,1-Jan-20,83 min
Jingle Jangle: A Christmas Journey,PG,13-Nov-20,124 min
Jiro Dreams of Sushi,PG,5-Jun-19,79 min
John Carter,PG-13,2-May-19,133 min
Judy Moody and the Not Bummer Summer,PG,8-Aug-19,91 min
Julie & Julia,PG-13,1-Jan-21,123 min
Jumping the Broom,PG-13,1-Nov-20,113 min
Jupiter Ascending,PG-13,1-Aug-19,128 min
Just Friends,PG-13,1-Sep-19,94 min
Justin Bieber: Never Say Never,G,1-Jan-18,106 min
K-19: The Widowmaker,PG-13,21-Nov-19,138 min
Kahlil Gibran's The Prophet,PG,1-Oct-17,85 min
Kate & Leopold,PG-13,1-Jan-20,118 min
Killer Klowns from Outer Space,PG-13,1-Apr-20,86 min
Killers,PG-13,1-Jan-21,100 min
King's Ransom,PG-13,1-Nov-19,98 min
Kingpin,PG-13,1-Jan-20,114 min
Klaus,PG,15-Nov-19,98 min
Knock Down The House,PG,1-May-19,88 min
Knowing,PG-13,1-Oct-19,121 min
Kon-Tiki,PG-13,26-Apr-19,96 min
La Bamba,PG-13,1-Jan-20,109 min
Lady Driver,PG,2-May-20,104 min
Lady in the Water,PG-13,1-Jul-19,110 min
Lagaan,PG,10-Jan-21,224 min
Leap Year,PG,15-Nov-19,100 min
Leap!,PG,7-Jan-21,89 min
Lee Daniels' The Butler,PG-13,16-Dec-20,132 min
Left Behind,PG-13,26-Dec-18,110 min
Legend of the Guardians: The Owls of Ga'Hoole,PG,1-Jan-20,97 min
Les Misérables,PG-13,16-Aug-20,158 min
Let It Snow,PG-13,8-Nov-19,93 min
Lincoln,PG-13,21-Feb-18,150 min
Little Men,PG,12-Jan-17,85 min
Little Monsters,PG,1-Nov-20,102 min
Little Nicky,PG-13,1-Dec-20,90 min
Lo and Behold: Reveries of the Connected World,PG-13,23-Dec-16,98 min
Lockout,PG-13,7-May-20,95 min
Logan's Run,PG,1-Nov-19,118 min
Love Jacked,PG-13,1-Feb-20,94 min
Loving,PG-13,16-Nov-20,124 min
Lu Over the Wall,PG,18-Mar-20,113 min
Lupin the 3rd: The Castle of Cagliostro: Special Edition,PG-13,15-May-18,100 min
Mad Money,PG-13,1-Nov-19,99 min
Madagascar: Escape 2 Africa,PG,1-May-20,91 min
Manglehorn,PG-13,16-Apr-17,97 min
Mansfield Park,PG-13,1-Jan-20,112 min
Marvel Super Hero Adventures: Frost Fight!,PG,24-Feb-16,74 min
Marvel's Hulk: Where Monsters Dwell,PG,4-Jan-17,75 min
Marvel's Iron Man & Hulk: Heroes United,PG,16-Feb-14,72 min
Mary and the Witch's Flower,PG,17-Jul-18,103 min
Mary Poppins Returns,PG,9-Jul-19,131 min
Mean Girls 2,PG-13,1-Jan-21,98 min
Men in Black,PG-13,19-Oct-19,98 min
Men in Black II,PG-13,1-Oct-19,88 min
Menashe,PG,25-Jan-20,82 min
Middle School: The Worst Years of My Life,PG,3-Mar-19,92 min
Midnight Special,PG-13,7-Sep-20,112 min
Miracle,PG,1-Jun-18,136 min
Mirai,PG,1-Jun-20,98 min
Mirror Mirror,PG,24-Apr-20,106 min
Miss Hokusai,PG-13,1-Oct-17,90 min
Miss Julie,PG-13,2-Sep-15,130 min
Modest Heroes: Ponoc Short Films Theatre,PG,22-May-20,54 min
Mona Lisa Smile,PG-13,1-Jan-19,119 min
Monkey Up,PG,19-Mar-16,83 min
Monster Family,PG,4-Apr-18,93 min
Monster House,PG,1-Dec-20,91 min
Monster-in-Law,PG-13,1-Jan-20,101 min
Monty Python and the Holy Grail,PG,2-Jan-19,92 min
Mountain,PG,1-Oct-18,74 min
Mowgli: Legend of the Jungle,PG-13,7-Dec-18,105 min
Mr. Church,PG-13,22-Dec-18,105 min
Mr. Deeds,PG-13,1-Aug-20,97 min
Mr. Peabody & Sherman,PG,11-Aug-20,93 min
Mr. Woodcock,PG-13,1-Sep-19,88 min
Mubarakan,PG-13,5-Nov-17,153 min
Mud,PG-13,1-Jan-21,131 min
Mune: Guardian of the Moon,PG,26-Jan-18,85 min
Muppets Most Wanted,PG,1-Sep-20,110 min
Murder Mystery,PG-13,14-Jun-19,98 min
My Entire High School Sinking Into the Sea,PG-13,23-Jan-18,77 min
My Girl,PG-13,1-Jan-20,102 min
My Life as a Zucchini,PG-13,1-Oct-17,68 min
My Perfect Romance,PG,1-May-18,92 min
My Sister's Keeper,PG-13,1-Sep-19,109 min
Nacho Libre,PG,1-Nov-19,92 min
National Lampoon's Loaded Weapon 1,PG-13,1-Nov-19,82 min
National Treasure,PG,1-Jun-18,131 min
New York Minute,PG,1-Jan-20,91 min
Next,PG-13,1-Jul-19,96 min
Nights in Rodanthe,PG-13,1-Jul-19,97 min
No Reservations,PG,1-Oct-19,104 min
Nothing to Lose,PG,20-Jul-18,133 min
Nothing to Lose 2,PG-13,7-Dec-19,97 min
November Criminals,PG-13,3-Jul-20,86 min
Now and Then,PG-13,2-Aug-19,102 min
Océans,G,19-Sep-19,84 min
Ocean's Thirteen,PG-13,1-Oct-19,122 min
Ocean's Twelve,PG-13,1-Oct-19,125 min
Okko's Inn,PG,12-Jun-20,96 min
Once Upon a Time in the West,PG-13,20-Nov-19,166 min
One Direction: This Is Us,PG,1-Oct-19,92 min
Open Season,PG,1-Sep-19,86 min
Our House,PG-13,1-Jun-20,90 min
Over the Moon,PG,23-Oct-20,100 min
P.S. I Love You,PG-13,1-Apr-19,126 min
Pachamama,PG,7-Jun-19,71 min
Pad Man,PG-13,21-Aug-18,130 min
ParaNorman,PG,18-Oct-20,93 min
Paul Blart: Mall Cop,PG,1-Nov-20,91 min
Penelope,PG,1-Apr-19,89 min
Penguins of Madagascar: The Movie,PG,15-Jan-21,92 min
Peter Rabbit,PG,18-Aug-18,95 min
Phantom Boy,PG,1-Oct-17,85 min
Philadelphia,PG-13,1-Jul-19,126 min
Planet 51,PG,23-Jan-19,91 min
Playing for Keeps,PG-13,3-Jan-21,106 min
Polaroid,PG-13,9-Feb-20,88 min
Pope Francis: A Man of His Word,PG,3-Jan-19,96 min
Popeye,PG,24-Nov-19,114 min
Poseidon,PG-13,1-Sep-19,98 min
Poster Boys,PG-13,27-Nov-17,128 min
Pottersville,PG-13,15-Dec-17,86 min
Prom Night,PG-13,12-Nov-20,88 min
Pup Star,G,29-Oct-16,92 min
Pup Star: Better 2Gether,PG,28-Oct-17,93 min
Pup Star: World Tour,G,5-May-18,87 min
Puppy Star Christmas,PG,20-Nov-18,91 min
Puss in Boots,PG,1-Sep-20,92 min
Quantum of Solace,PG-13,31-Aug-20,106 min
Quartet,PG-13,11-May-20,98 min
Queen of the Desert,PG-13,6-Apr-19,128 min
Quigley Down Under,PG-13,1-Dec-20,120 min
R.L. Stine's Mostly Ghostly,PG,1-Aug-18,98 min
Race to Witch Mountain,PG,1-Jul-19,99 min
Ralph Breaks the Internet: Wreck-It Ralph 2,PG,11-Jun-19,113 min
Rango,PG,28-Dec-20,110 min
Real Steel,PG-13,24-Sep-20,127 min
Rebecca,PG-13,21-Oct-20,123 min
Rebel Without a Cause,PG-13,1-Nov-19,111 min
Red Dawn,PG-13,31-Dec-19,114 min
Remember Me,PG-13,1-Aug-20,112 min
Rememory,PG-13,1-Jun-20,112 min
Ride Like a Girl,PG,27-Jun-20,99 min
Rising Phoenix,PG-13,26-Aug-20,107 min
Rize,PG-13,1-Oct-20,87 min
Rocky,PG,1-Aug-19,120 min
Rocky II,PG,1-Aug-19,119 min
Rocky III,PG,1-Aug-19,100 min
Rocky IV,PG,1-Aug-19,92 min
Rocky V,PG-13,1-Aug-19,104 min
Roped,PG,2-May-20,90 min
Rugrats in Paris: The Movie,G,1-Oct-19,79 min
Rumor Has It,PG-13,1-Aug-19,97 min
Runaway Bride,PG,1-Dec-20,116 min
Russell Madness,PG,10-May-15,93 min
S.W.A.T.,PG-13,1-Jan-21,117 min
Same Kind of Different as Me,PG-13,17-Aug-18,119 min
Samson,PG-13,14-Dec-18,109 min
Sarah's Key,PG-13,21-Sep-19,102 min
Saving Mr. Banks,PG-13,2-Mar-19,126 min
Scales: Mermaids Are Real,PG,23-Jan-20,93 min
Scary Movie 5,PG-13,12-Aug-20,88 min
Scorpion King 5: Book of Souls,PG-13,23-Oct-18,102 min
Scott Pilgrim vs. the World,PG-13,16-Sep-18,112 min
Searching for Bobby Fischer,PG,7-Dec-20,110 min
Searching for Sugar Man,PG-13,1-Dec-19,86 min
Season of the Witch,PG-13,26-Apr-19,95 min
Secret in Their Eyes,PG-13,1-Apr-18,111 min
Selfless,PG-13,16-Aug-19,117 min
Senna,PG-13,1-Oct-19,106 min
Septembers of Shiraz,PG-13,24-Aug-20,110 min
Seven in Heaven,PG-13,6-Oct-18,94 min
Seven Pounds,PG-13,1-Dec-18,123 min
Seventh Son,PG-13,16-Aug-20,102 min
Shark Night,PG-13,2-Nov-19,91 min
Sherlock Holmes,PG-13,1-Jan-21,128 min
Shorts,PG,1-Jul-19,89 min
Sierra Burgess Is A Loser,PG-13,7-Sep-18,106 min
Singularity,PG-13,1-Jun-18,92 min
Skiptrace,PG-13,4-Jul-19,107 min
Skyline,PG-13,16-Jan-19,94 min
Sleepover,PG,1-Mar-20,89 min
Small Soldiers,PG-13,1-Jun-19,110 min
SMOSH: The Movie,PG-13,22-Sep-15,83 min
Snow Day,PG,1-Jan-20,89 min
Solo: A Star Wars Story,PG-13,9-Jan-19,135 min
Solo: A Star Wars Story (Spanish Version),PG-13,9-Jan-19,135 min
Something's Gotta Give,PG-13,1-Aug-19,128 min
Soul Surfer,PG,17-May-20,106 min
Space Cowboys,PG-13,1-Aug-19,130 min
Sparkle,PG,1-Nov-19,98 min
Speech & Debate,PG-13,6-Jul-17,96 min
SPF-18,PG-13,30-Oct-17,75 min
Spider-Man 3,PG-13,1-Nov-19,139 min
Spider-Man: Into the Spider-Verse,PG,26-Jun-19,117 min
Spookley the Square Pumpkin,G,1-Sep-19,47 min
Spy Kids,PG,1-Apr-19,88 min
Spy Kids 2: The Island of Lost Dreams,PG,8-Mar-19,100 min
Spy Kids 3: Game Over,PG,1-Apr-19,83 min
Spy Kids: All the Time in the World,PG,19-Feb-19,88 min
Star Wars: Episode VIII: The Last Jedi,PG-13,26-Jun-18,152 min
Stardust,PG-13,1-Jul-20,128 min
Starsky & Hutch,PG-13,1-Jul-19,101 min
Step Sisters,PG-13,19-Jan-18,108 min
Stonehearst Asylum,PG-13,8-Sep-17,113 min
Strange but True,PG-13,30-Aug-20,96 min
Stranger than Fiction,PG-13,1-Oct-20,113 min
Strictly Ballroom,PG,1-Jan-20,95 min
Stuart Little,PG,1-Jan-20,85 min
Stuart Little 2,PG,1-Jan-20,78 min
Suffragette,PG-13,16-Nov-19,107 min
Sunday's Illness,PG-13,15-Jun-18,113 min
Superman Returns,PG-13,1-Oct-19,154 min
Superstar,PG-13,20-Nov-19,82 min
Surf's Up,PG,1-Jan-21,86 min
Sweetheart,PG-13,25-Dec-19,83 min
Taare Zameen Par,PG,10-Jan-21,162 min
Takers,PG-13,3-Nov-19,107 min
Tarzan,G,23-Jun-18,89 min
Tarzan 2,G,23-Jun-17,72 min
Teenage Mutant Ninja Turtles,PG,1-May-19,87 min
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,1-Jan-20,88 min
Teenage Mutant Ninja Turtles: The Movie,PG,1-Jan-20,94 min
Terminator Salvation,PG-13,1-Jan-20,115 min
The Adventures of Sharkboy and Lavagirl,PG,2-Dec-20,93 min
The Adventures of Tintin,PG,20-Nov-19,107 min
The American President,PG-13,1-Jan-21,113 min
The Angry Birds Movie 2,PG,27-Feb-20,97 min
The Artist,PG-13,25-Apr-20,101 min
The Black Prince,PG-13,3-Oct-18,121 min
The Bounty Hunter,PG-13,1-Oct-19,111 min
The Box,PG-13,1-Jun-19,116 min
The Boy,PG-13,1-Jun-20,97 min
The Boy in the Striped Pajamas,PG-13,1-Jan-19,95 min
The Breadwinner,PG-13,20-Feb-18,93 min
The Break-Up,PG-13,16-Jul-19,107 min
The Brothers Grimm,PG-13,1-Jul-19,119 min
The Bucket List,PG-13,1-Oct-19,97 min
The Bye Bye Man,PG-13,1-Apr-19,96 min
The Car,PG,1-Jun-20,96 min
The Christmas Candle,PG,1-Nov-19,100 min
The Christmas Chronicles: Part Two,PG,25-Nov-20,115 min
The Cloverfield Paradox,PG-13,5-Feb-18,102 min
The Command,PG-13,19-Oct-19,118 min
The Confirmation,PG-13,6-Feb-19,101 min
The Croods,PG,29-Jul-19,99 min
The Da Vinci Code,PG-13,1-Dec-20,149 min
